searge,name,side,desc
field_100013_f,isPotionDurationMax,0,"True if potion effect duration is at maximum, false otherwise."
field_104057_T,isGamemodeForced,0,
field_110323_l,statIcons,0,
field_110324_m,icons,0,
field_110325_k,optionsBackground,0,
field_110444_H,locationMojangPng,0,
field_110445_I,macDisplayModes,0,
field_110446_Y,fileAssets,0,
field_110447_Z,launchedVersion,0,
field_110448_aq,mcResourcePackRepository,0,
field_110449_ao,defaultResourcePacks,0,
field_110450_ap,mcDefaultResourcePack,0,
field_110451_am,mcResourceManager,0,
field_110452_an,metadataSerializer_,0,
field_110453_aa,proxy,0,
field_110456_c,serverProxy,0,
field_110463_b,packFormat,0,
field_110464_a,packDescription,0,
field_110465_b,charLefts,0,
field_110466_c,charSpacings,0,
field_110467_a,charWidths,0,
field_110475_d,frameTime,0,
field_110476_b,frameWidth,0,
field_110477_c,frameHeight,0,
field_110478_a,animationFrames,0,
field_110481_b,textureClamp,0,
field_110482_a,textureBlur,0,
field_110498_b,frameTime,0,
field_110499_a,frameIndex,0,
field_110506_b,gsonBuilder,0,
field_110507_c,gson,0,"Cached Gson instance. Set to null when more sections are registered, and then re-created from the builder."
field_110508_a,metadataSectionSerializerRegistry,0,
field_110520_f,locationTexturePackIcon,0,
field_110521_d,rePackMetadataSection,0,
field_110522_e,texturePackIcon,0,
field_110523_b,resourcePackFile,0,
field_110524_c,reResourcePack,0,
field_110529_f,mcmetaJsonChecked,0,
field_110530_g,mcmetaJson,0,
field_110531_d,mcmetaInputStream,0,
field_110532_e,srMetadataSerializer,0,
field_110533_b,srResourceLocation,0,
field_110534_c,resourceInputStream,0,
field_110535_a,mapMetadataSections,0,
field_110539_b,frmMetadataSerializer,0,
field_110540_a,resourcePacks,0,
field_110546_b,reloadListeners,0,
field_110547_c,rmMetadataSerializer,0,
field_110548_a,domainResourceManagers,0,
field_110553_a,glTextureId,0,
field_110582_d,theResourceManager,0,
field_110583_b,listTickables,0,
field_110584_c,mapTextureCounters,0,
field_110585_a,mapTextureObjects,0,
field_110597_b,resourcePackFile,0,
field_110598_a,resourceLog,0,
field_110606_b,mapResourceFiles,0,
field_110607_c,fileAssets,0,
field_110608_a,defaultResourceDomains,0,
field_110617_f,repositoryEntries,0,
field_110618_d,dirResourcepacks,0,
field_110619_e,repositoryEntriesAll,0,
field_110620_b,rprDefaultResourcePack,0,
field_110621_c,rprMetadataSerializer,0,
field_110622_a,resourcePackFilter,0,
field_110625_b,resourcePath,0,
