searge,name,side,desc
field_100013_f,isPotionDurationMax,0,"True if potion effect duration is at maximum, false otherwise."
field_104003_g,isAggressive,0,
field_104057_T,isGamemodeForced,0,
field_104058_d,theMainMenu,0,
field_110150_bn,lastAttacker,0,
field_110152_bk,newPosZ,0,
field_110153_bc,lastDamage,0,Damage taken in the last hit. Mobs are resistant to damage less than this for a short time after taking damage.
field_110155_d,attributeMap,0,
field_110156_b,sprintingSpeedBoostModifierUUID,0,
field_110157_c,sprintingSpeedBoostModifier,0,
field_110158_av,swingProgressInt,0,
field_110168_bw,leashedToEntity,0,
field_110169_bv,isLeashed,0,
field_110187_bq,babySpeedBoostUUID,0,
field_110188_br,babySpeedBoostModifier,0,
field_110192_bp,attackingSpeedBoostModifierUUID,0,
field_110193_bq,attackingSpeedBoostModifier,0,
field_110194_bu,lastEntityToAttack,0,
field_110268_bz,horseTextures,0,
field_110270_bw,horseArmorTextures,0,
field_110271_bv,horseJumpStrength,0,
field_110272_by,armorValues,0,
field_110274_bs,temper,0,"""The higher this value, the more likely the horse is to be tamed next time a player rides it."""
field_110275_br,horseJumping,0,
field_110276_bu,horseBreedingSelector,0,
field_110277_bt,jumpPower,0,
field_110281_bL,rearingAmount,0,
field_110282_bM,prevRearingAmount,0,
field_110283_bJ,headLean,0,
field_110284_bK,prevHeadLean,0,
field_110287_bN,mouthOpenness,0,
field_110288_bO,prevMouthOpenness,0,
field_110289_bD,eatingHaystackCounter,0,
field_110290_bE,openMouthCounter,0,
field_110291_bB,horseMarkingTextures,0,
field_110293_bH,hasReproduced,0,
field_110295_bF,jumpRearingCounter,0,
field_110296_bG,horseChest,0,
field_110312_d,locationSkin,0,
field_110313_e,locationCape,0,
field_110314_b,locationStevePng,0,
field_110315_c,downloadImageCape,0,
field_110316_a,downloadImageSkin,0,
field_110320_a,horseJumpPowerCounter,0,
field_110321_bQ,horseJumpPower,0,
field_110323_l,statIcons,0,
field_110324_m,icons,0,
field_110325_k,optionsBackground,0,
field_110328_d,pumpkinBlurTexPath,0,
field_110329_b,vignetteTexPath,0,
field_110330_c,widgetsTexPath,0,
field_110352_y,minecraftTitleTextures,0,
field_110353_x,splashTexts,0,
field_110444_H,locationMojangPng,0,
field_110445_I,macDisplayModes,0,
field_110446_Y,fileAssets,0,
field_110447_Z,launchedVersion,0,
field_110448_aq,mcResourcePackRepository,0,
field_110449_ao,defaultResourcePacks,0,
field_110450_ap,mcDefaultResourcePack,0,
