searge,name,side,desc
func_100011_g,getIsPotionDurationMax,0,
func_100012_b,setPotionDurationMax,0,Toggle the isPotionDurationMax field.
func_100015_a,isKeyDown,0,Returns whether the specified key binding is currently being pressed.
func_102007_a,canInsertItem,0,"Returns true if automation can insert the given item in the given slot from the given side. Args: Slot, item, side"
func_102008_b,canExtractItem,0,"Returns true if automation can extract the given item in the given slot from the given side. Args: Slot, item, side"
func_104002_bU,isNoDespawnRequired,0,
func_104056_am,getForceGamemode,0,
func_104112_b,saveExtraData,0,"Save extra data not associated with any Chunk.  Not saved during autosave, only during world unload.  Currently unimplemented."
func_104140_m,saveChunkData,0,saves chunk data - currently only called during execution of the Save All command
func_110123_P,onChunkLoad,0,
func_110124_au,getUniqueID,0,
func_110125_a,setParticleIcon,0,
func_110128_b,onBroken,0,Called when this entity is broken. Entity parameter may be null.
func_110130_b,getKnotForBlock,0,
func_110131_b,removeFrameFromMap,0,Removes the dot representing this frame's position from the map when the item frame is broken.
func_110138_aP,getMaxHealth,0,
func_110139_bj,getAbsorptionAmount,0,
func_110140_aT,getAttributeMap,0,
func_110142_aN,getCombatTracker,0,
func_110143_aJ,getHealth,0,
func_110144_aD,getLastAttacker,0,
func_110145_l,dismountEntity,0,Moves the entity to a position out of the way of its mount.
func_110147_ax,applyEntityAttributes,0,
func_110148_a,getEntityAttribute,0,
func_110149_m,setAbsorptionAmount,0,
func_110159_bB,updateLeashedState,0,"Applies logic related to leashes, for example dragging the entity or breaking the leash."
func_110160_i,clearLeashed,0,Removes the leash from this entity. Second parameter tells whether to send a packet to surrounding players.
func_110161_a,onSpawnWithEgg,0,
func_110162_b,setLeashedToEntity,0,Sets the entity to be leashed to.\nArgs:\n@param par1Entity: The entity to be tethered to.\n@param par2: Whether to send an attaching notification packet to surrounding players.
func_110163_bv,enablePersistence,0,Enable the Entity persistence
func_110164_bC,allowLeashing,0,
func_110165_bF,recreateLeash,0,
func_110166_bE,getLeashedToEntity,0,
func_110167_bD,getLeashed,0,
func_110171_b,setHomeArea,0,
func_110172_bL,getHomePosition,0,Returns the chunk coordinate object of the home position.
func_110173_bK,isWithinHomeDistanceCurrentPosition,0,
func_110174_bM,getMaximumHomeDistance,0,
func_110175_bO,hasHome,0,Returns whether a home area is defined for this entity.
func_110176_b,isWithinHomeDistance,0,
func_110177_bN,detachHome,0,
func_110195_a,addGrowth,0,"""Adds the value of the parameter times 20 to the age of this entity. If the entity is an adult (if the entity's age is greater than 0), it will have no effect."""
func_110198_t,increaseTemper,0,
func_110199_f,openGUI,0,
func_110200_cJ,canMate,0,"Return true if the horse entity ready to mate. (no rider, not riding, tame, adult, not steril...)"
func_110202_bQ,getHorseVariant,0,
func_110204_cc,isEatingHaystack,0,
func_110206_u,setJumpPower,0,
func_110207_m,setChested,0,
func_110208_b,setHorseWatchableBoolean,0,
func_110209_cd,isRearing,0,
func_110212_cp,getVariantTexturePaths,0,
func_110213_b,setOwnerName,0,
func_110214_p,setHorseType,0,
