searge,name,side,desc
field_230701_a_,LOGGER,0,
field_230702_b_,ALLOWED_PROTOCOLS,0,
field_230704_d_,title,0,
field_230705_e_,children,0,
field_230706_i_,minecraft,0,
field_230707_j_,itemRenderer,0,
field_230708_k_,width,0,
field_230709_l_,height,0,
field_230710_m_,buttons,0,
field_230711_n_,passEvents,0,
field_230712_o_,font,0,
field_230703_c_,clickedLink,0,
field_230663_f_,BACKGROUND_LOCATION,0,
field_230664_g_,STATS_ICON_LOCATION,0,
field_230665_h_,GUI_ICONS_LOCATION,0,
field_230662_a_,blitOffset,0,
field_230687_i_,WIDGETS_LOCATION,0,
field_230688_j_,width,0,
field_230689_k_,height,0,
field_230690_l_,x,0,
field_230691_m_,y,0,
field_230684_a_,message,0,
field_230685_b_,wasHovered,0,
field_230692_n_,isHovered,0,
field_230693_o_,active,0,
field_230694_p_,visible,0,
field_230695_q_,alpha,0,
field_230696_r_,nextNarration,0,
field_230686_c_,focused,0,
field_230668_b_,minecraft,0,
field_230669_c_,itemHeight,0,
field_230667_a_,children,0,
field_230670_d_,width,0,
field_230671_e_,height,0,
field_230672_i_,y0,0,
field_230673_j_,y1,0,
field_230674_k_,x1,0,
field_230675_l_,x0,0,
field_230676_m_,centerListVertically,0,
field_230678_o_,scrollAmount,0,
field_230679_p_,renderSelection,0,
field_230680_q_,renderHeader,0,
field_230677_n_,headerHeight,0,
field_230681_r_,scrolling,0,
field_230682_s_,selected,0,
