searge,name,side,desc
func_220363_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (EntityClassification)
func_222352_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (Biome.Classification)
func_222361_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (Biome.RainType)
func_222671_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (GenerationStage.Carving)
func_222676_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (GenerationStage.Decoration)
func_214714_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (MineshaftStructure.Type)
func_215135_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (OceanRuinStructure.Decoration)
func_214936_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (JigsawPattern.PlacementBehaviour)
func_214737_a,getName2,2,Conflicts with {@link IStringSerializable#getName} (OreFeatureConfig.FillerBlockType)
func_231171_q_,getTitle,0,
func_231167_h_,getNarrationMessage,0,
func_230430_a_,render,0,
func_231046_a_,keyPressed,0,
func_231178_ax__,shouldCloseOnEsc,0,
func_231175_as__,onClose,0,
func_230480_a_,addButton,0,
func_231151_a_,getTooltipFromItem,0,
func_238652_a_,renderTooltip,0,
func_238654_b_,renderTooltip,0,
func_238653_a_,renderComponentHoverEffect,0,
func_231155_a_,insertText,0,
func_230455_a_,handleComponentClicked,0,
func_231161_c_,sendMessage,0,
func_231159_b_,sendMessage,0,
func_231158_b_,init,0,
func_231039_at__,children,0,
func_231160_c_,init,0,
func_231023_e_,tick,0,
func_231164_f_,removed,0,
func_230446_a_,renderBackground,0,
func_238651_a_,renderBackground,0,
func_231165_f_,renderDirtBackground,0,
func_231177_au__,isPauseScreen,0,
func_231172_r_,hasControlDown,0,
func_231173_s_,hasShiftDown,0,
func_231174_t_,hasAltDown,0,
func_231166_g_,isCut,0,
func_231168_h_,isPaste,0,
func_231169_i_,isCopy,0,
func_231170_j_,isSelectAll,0,
func_231152_a_,resize,0,
func_231153_a_,wrapScreenError,0,
func_231047_b_,isMouseOver,0,
func_238465_a_,hLine,0,
func_238473_b_,vLine,0,
func_238467_a_,fill,0,
func_238468_a_,fill,0,
func_238471_a_,fillGradient,0,
func_238472_a_,drawCenteredString,0,
func_238476_c_,drawRightAlignedString,0,
func_238475_b_,drawString,0,
func_238470_a_,blit,0,
func_238474_b_,blit,0,
func_238464_a_,blit,0,
func_238466_a_,blit,0,
func_238463_a_,blit,0,
func_238469_a_,innerBlit,0,
func_238461_a_,innerBlit,0,
func_230927_p_,getBlitOffset,0,
func_230926_e_,setBlitOffset,0,
func_238483_d_,getHeight,0,
func_230989_a_,getYImage,0,
func_230430_a_,render,0,
func_230997_f_,narrate,0,
func_230442_c_,getNarrationMessage,0,
func_230431_b_,renderButton,0,
func_230441_a_,renderBg,0,
func_230982_a_,onClick,0,
func_231000_a__,onRelease,0,
func_230983_a_,onDrag,0,
func_231044_a_,mouseClicked,0,
func_231048_c_,mouseReleased,0,
func_230987_a_,isValidClickButton,0,
func_231045_a_,mouseDragged,0,
func_230992_c_,clicked,0,
func_230449_g_,isHovered,0,
func_231049_c__,changeFocus,0,
func_230995_c_,onFocusedChanged,0,
func_231047_b_,isMouseOver,0,
func_230443_a_,renderToolTip,0,
func_230988_a_,playDownSound,0,
func_230998_h_,getWidth,0,
func_230991_b_,setWidth,0,
func_230986_a_,setAlpha,0,
func_238482_a_,setMessage,0,
func_230994_c_,queueNarration,0,
func_230458_i_,getMessage,0,
func_230999_j_,isFocused,0,
func_230996_d_,setFocused,0,
func_238450_a_,addChatMessage,2,
func_230943_a_,setRenderSelection,0,
func_230944_a_,setRenderHeader,0,
func_230949_c_,getRowWidth,0,
func_230958_g_,getSelected,0,
func_241215_a_,setSelected,0,
func_241217_q_,getFocused,0,
func_230963_j_,clearEntries,0,
func_230942_a_,replaceEntries,0,
func_230953_d_,getEntry,0,
func_230513_b_,addEntry,0,
func_230965_k_,getItemCount,0,
func_230957_f_,isSelectedItem,0,
func_230933_a_,getEntryAtPosition,0,
func_230940_a_,updateSize,0,
func_230959_g_,setLeftPos,0,
func_230945_b_,getMaxPosition,0,
func_230938_a_,clickedHeader,0,
func_230448_a_,renderHeader,0,
func_230433_a_,renderBackground,0,
func_230447_a_,renderDecorations,0,
func_230951_c_,centerScrollOn,0,
func_230954_d_,ensureVisible,0,
func_230937_a_,scroll,0,
func_230966_l_,getScrollAmount,0,
func_230932_a_,setScrollAmount,0,
func_230955_e_,getMaxScroll,0,
func_230947_b_,updateScrollingState,0,
func_230952_d_,getScrollbarPosition,0,
func_231043_a_,mouseScrolled,0,
func_238478_a_,renderList,0,
func_230968_n_,getRowLeft,0,
func_230962_i_,getRowTop,0,
func_230948_b_,getRowBottom,0,
func_230971_aw_isFocused_,,0,
func_230964_j_,remove,0,
func_230956_e_,removeEntry,0,
func_230432_a_,render,0,
func_230930_b_,onPress,0,
func_231041_ay__,isDragging,0,
func_231037_b__,setDragging,0,
func_231042_a_,charTyped,0,
func_231035_a_,setFocused,0,
